"reviews_per_month","neighbourhood_group","room_type","price","minimum_nights","calculated_host_listings_count"
0.84,"Manhattan","Private room",94,30,1
0.24,"Brooklyn","Entire home/apt",800,1,1
0.53,"Brooklyn","Entire home/apt",105,3,1
1.73,"Manhattan","Private room",60,3,1
0.05,"Manhattan","Private room",50,1,1
1.54,"Brooklyn","Private room",85,3,4
0.28,"Brooklyn","Private room",65,4,1
3.4,"Brooklyn","Entire home/apt",131,4,1
0.2,"Brooklyn","Private room",98,7,6
0.3,"Brooklyn","Entire home/apt",250,7,1
1.57,"Brooklyn","Entire home/apt",100,5,1
1.05,"Brooklyn","Entire home/apt",105,3,2
0.71,"Manhattan","Entire home/apt",140,3,1
0.11,"Manhattan","Private room",89,1,1
0.27,"Manhattan","Private room",98,30,2
1.23,"Brooklyn","Entire home/apt",125,7,2
0.87,"Manhattan","Private room",60,3,3
2.09,"Brooklyn","Entire home/apt",175,2,3
0.6,"Manhattan","Private room",65,2,1
0.55,"Manhattan","Entire home/apt",500,4,2
3.02,"Brooklyn","Private room",101,3,1
0.79,"Brooklyn","Entire home/apt",220,30,1
1.46,"Brooklyn","Entire home/apt",125,90,2
0.4,"Brooklyn","Entire home/apt",80,30,1
1.61,"Manhattan","Private room",100,2,1
0.2,"Brooklyn","Entire home/apt",200,30,1
3,"Manhattan","Private room",59,2,2
0.2,"Brooklyn","Private room",125,2,6
0.13,"Manhattan","Entire home/apt",140,7,1
4.22,"Brooklyn","Entire home/apt",120,30,2
0.06,"Manhattan","Entire home/apt",350,2,4
0.38,"Manhattan","Entire home/apt",199,5,1
3.01,"Brooklyn","Entire home/apt",325,3,1
0.27,"Manhattan","Entire home/apt",235,6,1
1.05,"Manhattan","Entire home/apt",225,1,4
3.2,"Brooklyn","Private room",99,2,3
2.03,"Manhattan","Entire home/apt",170,2,1
0.24,"Brooklyn","Entire home/apt",400,2,2
0.12,"Manhattan","Entire home/apt",170,7,1
0.23,"Manhattan","Entire home/apt",100,4,1
0.08,"Brooklyn","Private room",75,2,1
0.08,"Brooklyn","Private room",90,1,1
0.19,"Manhattan","Entire home/apt",150,5,1
0.33,"Manhattan","Private room",85,15,1
0.58,"Brooklyn","Private room",70,3,2
1.42,"Manhattan","Entire home/apt",120,3,3
2.35,"Brooklyn","Private room",89,3,1
0.66,"Manhattan","Entire home/apt",185,5,1
1.86,"Brooklyn","Private room",50,3,1
0.29,"Manhattan","Entire home/apt",105,3,1
0.45,"Manhattan","Private room",130,2,3
0.25,"Manhattan","Entire home/apt",115,29,1
0.02,"Brooklyn","Private room",77,2,1
3.89,"Brooklyn","Private room",76,2,3
2.09,"Brooklyn","Entire home/apt",125,3,2
0.77,"Brooklyn","Private room",135,4,3
0.03,"Brooklyn","Entire home/apt",250,29,1
0.1,"Brooklyn","Entire home/apt",199,3,1
0.04,"Brooklyn","Entire home/apt",140,2,1
0.01,"Queens","Private room",140,2,1
1.72,"Brooklyn","Entire home/apt",115,3,2
0.11,"Brooklyn","Entire home/apt",160,3,1
2.19,"Brooklyn","Entire home/apt",195,4,1
0.28,"Manhattan","Entire home/apt",195,3,1
1.86,"Brooklyn","Private room",80,3,4
1.05,"Brooklyn","Private room",44,8,5
0.74,"Manhattan","Private room",156,4,1
0.09,"Brooklyn","Private room",85,15,1
1.61,"Brooklyn","Private room",125,3,1
0.05,"Brooklyn","Entire home/apt",115,15,1
0.32,"Manhattan","Private room",69,2,1
1.24,"Manhattan","Entire home/apt",225,45,1
0.25,"Brooklyn","Entire home/apt",125,6,1
1.16,"Manhattan","Entire home/apt",219,4,2
0.27,"Brooklyn","Entire home/apt",475,3,1
2.6,"Manhattan","Entire home/apt",99,1,2
1.86,"Brooklyn","Private room",69,4,2
0.26,"Queens","Private room",79,30,1
2.86,"Brooklyn","Entire home/apt",135,2,2
0.13,"Brooklyn","Private room",250,3,1
0.08,"Manhattan","Entire home/apt",250,3,1
2.17,"Brooklyn","Entire home/apt",250,2,1
0.04,"Manhattan","Entire home/apt",80,3,1
3.47,"Brooklyn","Private room",70,2,3
1.4,"Brooklyn","Entire home/apt",165,2,3
1.66,"Staten Island","Private room",70,2,1
0.94,"Brooklyn","Private room",50,2,1
2.04,"Bronx","Private room",40,1,3
1.78,"Brooklyn","Entire home/apt",150,2,1
0.78,"Manhattan","Private room",125,1,4
1.06,"Manhattan","Entire home/apt",196,3,1
2,"Brooklyn","Private room",110,2,2
0.8,"Manhattan","Entire home/apt",170,3,1
0.75,"Manhattan","Entire home/apt",165,3,3
0.36,"Manhattan","Entire home/apt",150,26,1
1.79,"Manhattan","Entire home/apt",100,2,1
1.92,"Brooklyn","Private room",65,2,2
0.11,"Queens","Entire home/apt",350,8,5
1.18,"Manhattan","Private room",99,4,2
0.58,"Brooklyn","Entire home/apt",200,4,1
0.5,"Brooklyn","Entire home/apt",150,5,1
1.17,"Brooklyn","Private room",90,3,4
0.48,"Brooklyn","Private room",120,3,3
1.85,"Manhattan","Private room",75,3,1
0.29,"Brooklyn","Entire home/apt",175,26,1
0.03,"Manhattan","Entire home/apt",125,3,1
0.38,"Manhattan","Entire home/apt",275,1,1
1.04,"Manhattan","Entire home/apt",299,2,1
1.43,"Brooklyn","Entire home/apt",135,5,3
2.69,"Manhattan","Private room",83,1,1
3.52,"Manhattan","Private room",123,1,1
0.49,"Queens","Private room",55,2,2
1.01,"Manhattan","Entire home/apt",195,5,1
0.48,"Brooklyn","Private room",80,2,1
0.31,"Queens","Entire home/apt",98,30,5
0.06,"Queens","Private room",140,7,5
0.38,"Queens","Entire home/apt",265,7,5
3.44,"Brooklyn","Entire home/apt",249,2,2
0.09,"Manhattan","Shared room",105,6,1
2.12,"Brooklyn","Private room",100,2,3
1,"Manhattan","Entire home/apt",121,1,5
1.45,"Bronx","Private room",45,1,3
1.92,"Manhattan","Private room",100,5,1
3.04,"Brooklyn","Entire home/apt",140,2,1
0.22,"Brooklyn","Private room",71,2,1
1.17,"Manhattan","Private room",130,2,1
1.22,"Manhattan","Entire home/apt",199,5,1
1.13,"Brooklyn","Private room",69,4,2
0.35,"Brooklyn","Private room",68,3,1
2.04,"Manhattan","Entire home/apt",130,1,1
0.65,"Brooklyn","Entire home/apt",195,2,1
1.84,"Manhattan","Private room",64,1,5
0.16,"Queens","Entire home/apt",140,2,1
2.12,"Brooklyn","Entire home/apt",159,2,1
1.96,"Manhattan","Entire home/apt",189,3,1
0.96,"Manhattan","Entire home/apt",250,3,1
0.07,"Manhattan","Entire home/apt",239,3,1
1.09,"Manhattan","Entire home/apt",305,2,1
2.1,"Manhattan","Entire home/apt",155,3,2
4.58,"Manhattan","Private room",60,1,2
0.26,"Brooklyn","Private room",135,2,1
0.3,"Manhattan","Private room",120,7,1
0.39,"Manhattan","Entire home/apt",150,3,1
0.01,"Queens","Entire home/apt",140,14,5
0.67,"Brooklyn","Entire home/apt",135,2,1
0.18,"Manhattan","Entire home/apt",250,4,2
0.78,"Manhattan","Entire home/apt",250,30,1
0.99,"Manhattan","Entire home/apt",500,4,1
0.1,"Manhattan","Entire home/apt",225,5,1
1.83,"Manhattan","Entire home/apt",125,28,2
1.82,"Manhattan","Private room",92,1,5
0.11,"Manhattan","Private room",175,2,1
1.22,"Manhattan","Entire home/apt",99,2,1
0.04,"Manhattan","Entire home/apt",195,4,1
1.3,"Manhattan","Entire home/apt",140,3,3
0.2,"Manhattan","Entire home/apt",135,2,1
0.34,"Manhattan","Entire home/apt",500,2,1
2.21,"Manhattan","Private room",80,14,2
1.8,"Manhattan","Private room",120,4,2
0.9,"Manhattan","Entire home/apt",110,200,1
2.3,"Brooklyn","Entire home/apt",65,3,1
0.58,"Manhattan","Entire home/apt",130,50,1
2.13,"Brooklyn","Entire home/apt",99,3,1
1.85,"Staten Island","Private room",36,2,6
1.44,"Staten Island","Private room",37,2,6
1.71,"Staten Island","Private room",37,2,6
1.78,"Manhattan","Entire home/apt",175,3,2
0.7,"Manhattan","Entire home/apt",205,9,2
1.22,"Brooklyn","Entire home/apt",285,3,3
1.77,"Brooklyn","Private room",59,2,2
3.19,"Staten Island","Private room",36,2,6
4.5,"Queens","Entire home/apt",99,5,1
0.46,"Brooklyn","Private room",39,1,2
0.09,"Brooklyn","Private room",60,14,2
0.5,"Bronx","Entire home/apt",105,2,13
2.39,"Brooklyn","Entire home/apt",135,2,2
1.38,"Manhattan","Entire home/apt",390,5,2
0.41,"Brooklyn","Private room",70,3,4
0.14,"Brooklyn","Private room",60,17,4
2.69,"Brooklyn","Private room",100,3,1
0.22,"Brooklyn","Private room",70,4,4
3.55,"Brooklyn","Private room",110,6,1
2.27,"Brooklyn","Private room",60,2,2
0.16,"Manhattan","Entire home/apt",90,14,1
1.96,"Manhattan","Private room",68,2,2
2.1,"Manhattan","Entire home/apt",115,2,1
0.67,"Brooklyn","Private room",75,5,1
0.15,"Manhattan","Entire home/apt",129,7,1
0.48,"Brooklyn","Entire home/apt",130,10,1
1.27,"Brooklyn","Entire home/apt",95,4,1
0.26,"Manhattan","Private room",75,3,1
0.11,"Brooklyn","Entire home/apt",175,2,1
0.57,"Brooklyn","Entire home/apt",190,3,1
0.15,"Brooklyn","Private room",49,21,5
1.31,"Manhattan","Entire home/apt",212,3,1
1.11,"Manhattan","Private room",95,1,3
0.11,"Brooklyn","Entire home/apt",140,2,1
1.87,"Manhattan","Entire home/apt",135,6,1
2.08,"Brooklyn","Entire home/apt",150,2,2
0.79,"Brooklyn","Entire home/apt",190,3,2
0.26,"Manhattan","Entire home/apt",124,28,1
0.56,"Brooklyn","Entire home/apt",135,30,1
0.93,"Manhattan","Private room",122,3,1
1.05,"Manhattan","Private room",109,1,2
0.68,"Manhattan","Private room",85,30,1
1.25,"Brooklyn","Entire home/apt",145,3,2
0.32,"Manhattan","Entire home/apt",195,11,1
1.34,"Brooklyn","Entire home/apt",250,2,3
0.1,"Brooklyn","Private room",125,3,1
1.88,"Manhattan","Entire home/apt",575,2,1
0.55,"Manhattan","Entire home/apt",150,30,1
0.49,"Brooklyn","Private room",70,5,1
1.27,"Manhattan","Private room",90,2,1
0.63,"Manhattan","Private room",65,3,1
0.48,"Manhattan","Entire home/apt",500,2,4
0.43,"Manhattan","Entire home/apt",250,3,2
0.42,"Manhattan","Entire home/apt",125,25,1
0.44,"Manhattan","Entire home/apt",200,30,1
0.5,"Brooklyn","Entire home/apt",229,1,1
0.35,"Bronx","Entire home/apt",90,30,2
0.39,"Manhattan","Entire home/apt",110,13,1
0.36,"Brooklyn","Private room",59,3,1
0.6,"Brooklyn","Entire home/apt",195,4,1
0.67,"Brooklyn","Entire home/apt",169,1,2
0.27,"Manhattan","Entire home/apt",113,14,3
0.31,"Manhattan","Entire home/apt",250,14,1
2.01,"Queens","Entire home/apt",115,2,1
0.01,"Brooklyn","Private room",55,2,1
2.17,"Brooklyn","Private room",69,2,2
2.81,"Manhattan","Entire home/apt",150,3,1
3.97,"Brooklyn","Entire home/apt",169,2,3
0.36,"Brooklyn","Private room",179,3,28
0.36,"Manhattan","Private room",150,3,1
0.1,"Brooklyn","Entire home/apt",135,4,1
0.3,"Brooklyn","Entire home/apt",350,6,1
0.76,"Brooklyn","Private room",120,14,6
1.81,"Manhattan","Private room",71,2,1
0.09,"Brooklyn","Private room",349,3,28
0.07,"Brooklyn","Private room",349,3,28
0.51,"Brooklyn","Entire home/apt",165,30,2
0.02,"Brooklyn","Private room",249,3,28
0.68,"Brooklyn","Private room",100,3,2
0.85,"Brooklyn","Entire home/apt",200,3,2
2.4,"Manhattan","Entire home/apt",169,4,1
1.07,"Brooklyn","Entire home/apt",185,3,1
2.27,"Brooklyn","Entire home/apt",65,2,1
0.05,"Brooklyn","Entire home/apt",130,35,1
0.11,"Brooklyn","Entire home/apt",199,30,1
0.33,"Manhattan","Entire home/apt",225,2,1
0.14,"Brooklyn","Private room",179,3,28
0.05,"Brooklyn","Entire home/apt",150,5,1
3.88,"Manhattan","Entire home/apt",139,1,1
2.22,"Manhattan","Private room",95,3,2
0.11,"Brooklyn","Entire home/apt",79,15,5
1.51,"Manhattan","Entire home/apt",150,2,2
2.26,"Brooklyn","Entire home/apt",90,3,4
0.76,"Brooklyn","Entire home/apt",120,2,2
1.21,"Queens","Private room",80,1,2
3.74,"Brooklyn","Entire home/apt",175,2,1
1.04,"Brooklyn","Entire home/apt",120,5,1
0.13,"Brooklyn","Entire home/apt",140,7,1
0.07,"Brooklyn","Entire home/apt",200,5,1
0.11,"Brooklyn","Private room",165,4,3
0.01,"Manhattan","Entire home/apt",125,4,3
0.19,"Manhattan","Entire home/apt",130,30,1
1.31,"Manhattan","Shared room",65,7,2
0.15,"Brooklyn","Entire home/apt",123,30,1
1.37,"Manhattan","Private room",67,2,1
0.45,"Queens","Private room",50,1,1
0.99,"Brooklyn","Entire home/apt",130,7,1
0.31,"Brooklyn","Private room",100,3,1
0.46,"Manhattan","Entire home/apt",212,21,1
1.76,"Brooklyn","Entire home/apt",190,3,1
0.09,"Brooklyn","Private room",599,3,28
1.68,"Manhattan","Entire home/apt",249,5,2
0.13,"Queens","Private room",70,27,1
0.16,"Brooklyn","Entire home/apt",100,30,5
3.83,"Manhattan","Private room",60,3,2
0.87,"Brooklyn","Entire home/apt",135,2,1
2.53,"Brooklyn","Entire home/apt",175,3,3
0.56,"Manhattan","Entire home/apt",120,5,1
0.57,"Manhattan","Entire home/apt",169,18,1
0.03,"Brooklyn","Entire home/apt",165,7,1
0.02,"Manhattan","Private room",90,1,1
0.57,"Manhattan","Entire home/apt",225,2,1
1.66,"Brooklyn","Private room",95,2,2
2.51,"Brooklyn","Private room",55,2,2
1.17,"Manhattan","Private room",85,10,1
0.28,"Brooklyn","Entire home/apt",199,14,2
0.6,"Manhattan","Entire home/apt",211,1,3
0.4,"Manhattan","Entire home/apt",145,6,1
0.35,"Manhattan","Private room",65,14,1
3.23,"Manhattan","Entire home/apt",99,1,1
0.32,"Queens","Entire home/apt",110,4,1
2.27,"Brooklyn","Entire home/apt",80,3,4
0.96,"Brooklyn","Entire home/apt",150,30,1
0.75,"Brooklyn","Entire home/apt",110,4,1
0.36,"Manhattan","Private room",290,2,1
0.51,"Brooklyn","Entire home/apt",190,4,1
0.31,"Brooklyn","Entire home/apt",200,2,1
0.23,"Brooklyn","Entire home/apt",165,2,2
1.44,"Manhattan","Entire home/apt",110,2,2
0.73,"Manhattan","Entire home/apt",395,2,1
0.54,"Brooklyn","Private room",99,2,2
0.94,"Brooklyn","Private room",39,1,2
4.1,"Manhattan","Entire home/apt",189,2,3
0.03,"Manhattan","Private room",85,1,1
0.03,"Brooklyn","Entire home/apt",260,30,1
1.18,"Manhattan","Entire home/apt",122,1,5
1.79,"Brooklyn","Entire home/apt",165,2,1
1.21,"Queens","Entire home/apt",97,3,3
0.25,"Manhattan","Entire home/apt",170,4,1
0.15,"Brooklyn","Entire home/apt",125,2,1
1.07,"Manhattan","Private room",130,4,1
0.38,"Brooklyn","Entire home/apt",225,10,1
2.69,"Brooklyn","Private room",50,2,2
0.91,"Brooklyn","Entire home/apt",170,3,2
0.1,"Manhattan","Entire home/apt",132,4,1
0.21,"Brooklyn","Entire home/apt",250,7,1
0.21,"Brooklyn","Entire home/apt",141,5,1
0.73,"Brooklyn","Entire home/apt",64,20,1
1.55,"Brooklyn","Entire home/apt",249,3,1
1.18,"Brooklyn","Private room",79,2,1
0.71,"Manhattan","Entire home/apt",185,2,1
2.41,"Brooklyn","Entire home/apt",120,3,1
0.41,"Brooklyn","Entire home/apt",495,1,1
0.21,"Manhattan","Entire home/apt",375,3,1
0.69,"Manhattan","Entire home/apt",175,3,1
0.23,"Manhattan","Entire home/apt",150,4,1
0.17,"Manhattan","Entire home/apt",259,8,1
0.58,"Manhattan","Private room",96,1,1
0.08,"Brooklyn","Entire home/apt",145,7,1
0.08,"Manhattan","Entire home/apt",95,5,1
0.72,"Brooklyn","Entire home/apt",250,4,1
0.76,"Manhattan","Entire home/apt",295,2,2
0.19,"Manhattan","Entire home/apt",175,3,1
0.86,"Brooklyn","Entire home/apt",451,2,1
2.18,"Manhattan","Entire home/apt",165,2,1
2.49,"Bronx","Entire home/apt",77,1,1
0.2,"Manhattan","Entire home/apt",250,4,1
4.34,"Queens","Entire home/apt",129,1,1
0.09,"Brooklyn","Private room",98,2,4
0.3,"Manhattan","Private room",95,7,1
1.22,"Manhattan","Private room",55,3,5
2.14,"Manhattan","Entire home/apt",300,2,3
0.55,"Queens","Private room",42,40,3
1.09,"Brooklyn","Entire home/apt",125,2,1
1.8,"Manhattan","Private room",175,3,1
0.42,"Manhattan","Private room",75,3,3
0.5,"Brooklyn","Entire home/apt",255,45,1
0.91,"Brooklyn","Entire home/apt",72,31,1
0.28,"Brooklyn","Private room",165,1,4
1.28,"Brooklyn","Entire home/apt",165,5,1
0.44,"Brooklyn","Private room",75,3,2
0.05,"Brooklyn","Entire home/apt",130,5,1
4,"Brooklyn","Entire home/apt",139,2,1
0.68,"Brooklyn","Private room",88,1,3
0.41,"Brooklyn","Private room",80,1,3
1.79,"Manhattan","Private room",150,2,1
0.12,"Manhattan","Entire home/apt",200,3,1
1.08,"Manhattan","Entire home/apt",200,2,1
0.43,"Queens","Private room",42,40,3
0.03,"Brooklyn","Private room",90,6,1
2.33,"Manhattan","Entire home/apt",295,3,1
0.79,"Brooklyn","Entire home/apt",450,5,1
0.35,"Brooklyn","Entire home/apt",130,2,1
2.31,"Brooklyn","Private room",89,3,3
0.44,"Manhattan","Entire home/apt",198,5,2
2.92,"Manhattan","Entire home/apt",99,2,3
0.89,"Brooklyn","Private room",46,4,3
0.56,"Manhattan","Private room",140,2,1
0.07,"Brooklyn","Entire home/apt",500,7,1
0.59,"Manhattan","Private room",75,5,2
0.32,"Queens","Private room",33,44,3
1.94,"Manhattan","Entire home/apt",250,31,1
6.7,"Brooklyn","Private room",60,3,1
0.35,"Manhattan","Private room",75,2,1
0.06,"Brooklyn","Entire home/apt",350,5,1
0.04,"Manhattan","Entire home/apt",205,9,2
0.03,"Brooklyn","Entire home/apt",219,5,1
0.21,"Brooklyn","Private room",60,1,6
1.33,"Manhattan","Entire home/apt",185,2,1
1.6,"Manhattan","Entire home/apt",190,3,1
1.06,"Brooklyn","Entire home/apt",105,28,1
0.12,"Manhattan","Entire home/apt",250,2,2
0.12,"Manhattan","Entire home/apt",175,65,1
0.43,"Manhattan","Private room",65,2,2
1.09,"Brooklyn","Entire home/apt",75,2,1
1.21,"Bronx","Private room",37,4,1
0.89,"Brooklyn","Entire home/apt",85,2,2
0.16,"Manhattan","Entire home/apt",79,2,1
0.55,"Brooklyn","Private room",85,2,2
0.18,"Manhattan","Private room",170,2,2
0.04,"Manhattan","Private room",115,3,2
0.47,"Manhattan","Private room",89,5,2
4.6,"Manhattan","Shared room",49,3,1
2.49,"Brooklyn","Private room",91,3,1
1.13,"Manhattan","Entire home/apt",400,2,1
0.46,"Brooklyn","Entire home/apt",150,2,1
0.33,"Manhattan","Entire home/apt",2000,30,11
0.32,"Brooklyn","Entire home/apt",97,3,1
0.51,"Manhattan","Private room",100,4,2
0.24,"Brooklyn","Entire home/apt",179,4,1
0.21,"Brooklyn","Entire home/apt",500,2,2
0.9,"Manhattan","Entire home/apt",429,10,1
0.95,"Manhattan","Entire home/apt",189,6,1
1.04,"Manhattan","Private room",120,2,1
0.06,"Manhattan","Entire home/apt",300,1,3
0.22,"Queens","Entire home/apt",107,30,8
0.26,"Queens","Entire home/apt",95,30,8
1.17,"Manhattan","Entire home/apt",199,2,1
0.91,"Manhattan","Entire home/apt",120,2,1
0.69,"Manhattan","Entire home/apt",199,15,2
2.84,"Bronx","Entire home/apt",125,2,2
2.4,"Brooklyn","Private room",70,2,1
1.55,"Brooklyn","Private room",75,4,1
0.07,"Manhattan","Private room",100,30,1
1.97,"Brooklyn","Entire home/apt",99,2,2
0.02,"Manhattan","Entire home/apt",250,1,1
0.02,"Brooklyn","Entire home/apt",350,6,1
0.7,"Brooklyn","Entire home/apt",170,3,1
0.68,"Manhattan","Entire home/apt",165,1,1
1,"Manhattan","Private room",99,1,1
0.02,"Manhattan","Private room",255,4,1
1.86,"Brooklyn","Entire home/apt",169,3,1
0.94,"Brooklyn","Entire home/apt",99,4,1
0.41,"Manhattan","Entire home/apt",169,7,1
0.44,"Brooklyn","Entire home/apt",160,3,1
0.35,"Brooklyn","Entire home/apt",215,3,1
2.02,"Brooklyn","Entire home/apt",130,3,1
0.85,"Manhattan","Private room",110,3,2
0.45,"Manhattan","Private room",150,28,2
0.54,"Brooklyn","Private room",65,30,1
1.68,"Queens","Private room",75,2,1
0.27,"Manhattan","Entire home/apt",149,6,2
0.37,"Manhattan","Private room",89,6,1
2.35,"Manhattan","Private room",50,1,1
6.62,"Brooklyn","Private room",43,1,2
0.84,"Brooklyn","Private room",42,1,2
0.97,"Brooklyn","Private room",85,1,1
1.19,"Brooklyn","Entire home/apt",139,3,1
2.21,"Brooklyn","Private room",105,1,2
0.16,"Brooklyn","Entire home/apt",265,5,1
1.29,"Manhattan","Entire home/apt",149,1,1
3.9,"Manhattan","Private room",68,2,2
2.18,"Brooklyn","Entire home/apt",99,3,1
0.65,"Manhattan","Private room",75,3,2
2.85,"Brooklyn","Private room",100,2,1
0.26,"Manhattan","Entire home/apt",160,30,1
1.62,"Brooklyn","Entire home/apt",190,4,1
0.76,"Brooklyn","Private room",67,4,3
0.08,"Manhattan","Entire home/apt",190,1,1
0.61,"Brooklyn","Entire home/apt",248,2,6
0.09,"Brooklyn","Private room",100,6,1
1.84,"Manhattan","Private room",95,3,2
7.14,"Manhattan","Private room",150,1,1
1.29,"Brooklyn","Entire home/apt",145,3,1
0.59,"Brooklyn","Private room",41,2,1
0.99,"Brooklyn","Entire home/apt",120,4,1
2.7,"Bronx","Private room",50,3,2
0.18,"Brooklyn","Entire home/apt",157,2,1
0.33,"Brooklyn","Entire home/apt",195,14,1
1.34,"Brooklyn","Entire home/apt",70,4,2
0.15,"Brooklyn","Entire home/apt",185,3,1
0.32,"Brooklyn","Entire home/apt",145,3,3
2.9,"Queens","Private room",50,28,1
2.39,"Brooklyn","Entire home/apt",185,3,3
0.65,"Manhattan","Entire home/apt",250,1,1
0.2,"Manhattan","Private room",80,90,1
1.88,"Manhattan","Entire home/apt",230,2,1
0.1,"Brooklyn","Entire home/apt",100,7,1
0.37,"Brooklyn","Private room",40,1,1
0.49,"Manhattan","Private room",200,30,1
0.05,"Staten Island","Private room",80,2,1
1.6,"Brooklyn","Private room",79,3,3
0.25,"Queens","Entire home/apt",95,30,8
0.47,"Manhattan","Entire home/apt",300,2,3
0.08,"Brooklyn","Entire home/apt",100,30,1
0.35,"Manhattan","Private room",80,7,1
0.26,"Brooklyn","Entire home/apt",110,1,1
0.09,"Brooklyn","Entire home/apt",172,4,2
0.31,"Manhattan","Entire home/apt",199,1,2
0.15,"Manhattan","Entire home/apt",199,1,2
0.38,"Manhattan","Private room",100,1,1
1.04,"Manhattan","Private room",55,4,1
0.62,"Brooklyn","Private room",75,3,3
1.5,"Manhattan","Entire home/apt",146,3,1
0.23,"Brooklyn","Entire home/apt",116,29,1
0.87,"Manhattan","Private room",150,3,2
0.24,"Brooklyn","Private room",120,2,6
0.34,"Manhattan","Entire home/apt",199,4,1
0.25,"Brooklyn","Entire home/apt",150,5,1
0.63,"Manhattan","Private room",69,1,2
0.08,"Manhattan","Private room",300,55,2
0.21,"Brooklyn","Entire home/apt",230,4,1
0.03,"Manhattan","Entire home/apt",125,4,1
1.21,"Brooklyn","Private room",79,3,3
1.63,"Brooklyn","Private room",130,3,2
1.73,"Brooklyn","Private room",239,1,11
0.8,"Staten Island","Entire home/apt",75,6,1
1.23,"Brooklyn","Entire home/apt",220,3,2
2.47,"Brooklyn","Entire home/apt",80,3,4
1.27,"Manhattan","Entire home/apt",288,2,1
0.87,"Brooklyn","Entire home/apt",135,4,1
0.15,"Manhattan","Entire home/apt",225,3,1
0.64,"Manhattan","Private room",110,30,1
1.87,"Brooklyn","Entire home/apt",100,7,1
